"starts with a short of length delivery, worked away towards square leg, off the mark straightaway"
"pitched up, defended towards mid-on"
"back of a length outside off, spinning back into the batsman. Punched off a thick inside edge back to the bowler"
"good length outside off, he comes forward and pushes it to cover"
comes forward and defends
defended off the front foot
"<b>juggled and caught in the slips</b> but the umpires are checking to make sure. Went for the drive without moving his feet and got an outside edge. It flew quickly to first slip and the ball popped out, but he managed to grab it on second try"
"<b>given lbw first ball and immediate review</b> Flighted ball on the stumps, and he simply padded it away. Appeal and the umpire has raised his finger. Might have to go on umpire's call. In fact, it's bouncing over the stumps so he'll be saved. They are checking to see if the ball brushed glove too, and it didn't. Mithun survives"
"good length, given some air outside off, and it hits the pad and flies off to short fine leg. He had stretched well out and was hit outside the line that time though, so no appeal"
"on a length, turning away from the batsman, he stays in his crease and pats it back"
comes forward to drive this to cover
"back of a length, stays in his crease and punches to cover. Not much foot movement from the batsman"
"goes too full and ends up as a half volley, and he has no trouble putting that away to the cover fence with a flowing cover drive"
gets the length better that time and the batsman defends carefully
"tossed up on off, and defended with a stride forward. Thickish edge rolls to slip"
"<b>risky</b> driven uppishly through point, evades the man there to go to the fence"
""
<b>just dropped short</b> good bowling this looping and drawing him forward and turning to take the edge. It fell centimetres short of the slip fielder
comes down the track and the bowler shortens his length but he's in good enough position to push it through cover with good timing
short and turned to square leg
""
steered to gully with an open face
"comes forward and is hit on the pads. <b>they're reviewing this</b> He might have come too far forward, though. The bat was very close to the pad, and the ball could have brushed the inside edge of the bat too. No it hasn't. Ah well, it is hitting the stumps, but he was more than 3 metres in front so that stays with the on-field umpire's call."
"good length and fizzing away from the batsman, he defends to point from his crease"
"keeps it on that length, on off stump that time. Defended to point again"
"a bit fuller, and he comes forward to push it to cover"
drags it down a bit short but Mominul is unable to take advantage. Pushes it tamely to mid-off
tossed up and the batsman misses the flick. Got an inside edge onto pad though - would have been lbw if not.
"too full again, but he can't connect with the flick, it comes off the toe end"
better length but strays in line and he's able to flick it off his hips to square leg
"overpitched, and Mominul picks it up on the half-volley and lifts it over the in-field. Bounces just in front of the midwicket rope and the man running from square leg can't stop it"
"length outside off, he lets it go through"
"drifts on the pads and <b>given lbw</b>. It was the drift and subsequent straightening that beat him, he was moving across to tuck it, but the ball pitches in line with leg and straightens enough to hit him. Mominul was back in his crease and after a short discussion with Mithun, opts not to review."
stays back to this length ball on off and pushes it to point
"too short and straying on the pads, picked off to deep square leg"
"tossed up on the stumps, defended off the front foot"
"tossed up on off that time, he stays back and gets low to carve it past point"
"<b>picks out deep midwicket with a slog-sweep!</b> That is a terrible shot by Shakib. Tossed up on off, a bit full, Shakib went for the sweep. Connected well, but there was a man back there whom he picked out almost with a pin point. Poor, poor shot from one of the most experienced batsmen in the side, and Bangladesh are in a bit of a hole now, despite that first-innings lead"
"oooh, that went close to the off stump. Went with the angle from round the wicket and Mushfiqur opted to let it go through. Not the safest move perhaps"
""
"tossed up on the stumps, but turning into the batsman's pads and he's able to go back and clip it to deep square leg"
"drags it short and down leg, defeats the batsman's attempted sweep"
"good length on off and spinning into the batsman, he stays inside the line and punches to point"
"too full and he comes forward to flick it, but the ball taps into one of the men close in"
<b>reverse sweep</b> executes it well though doesn't get the timing on it to send it racing. It's pulled in before it can reach the third man fence
"tossed up, he comes down the track and drives to long-on"
"tossed up on the stumps, he had stretched forward almost before the ball reached him. Smothers it"
steered to point with soft hands off the front foot
"good length on the stumps, spinning away from the batsman. He stays beside the line and punches towards gully"
"<b>beaten</b> perfect ball, making a pleasing arc on the way to the batsman, drawing him forward, pitching in front and hissing away"
"connects with the sweep. A bit too full and he's quickly on to it, paddle-sweeps it to fine leg."
"tossed up on the stumps, the correct length to draw him forward. He defends"
"tossed up again, a bit fuller, allowing him to pick it up from outside off and flick it to deep midwicket"
"tossed up but on leg, Mushfiqur stays put and lets the ball hit his back thigh"
pushed to point
"tossed up, he takes a big stride forward and drops the ball dead"
"good ball to finish, tossed up again but on that uncertain length. He chooses to stay back and only just manages to get the bat down in time to defend it."
"flatter on off, he stays back and cuts, but straight to point"
given some room outside off and he manages to free his arms and slash it down to a square third man
"coming in with the angle but outside off. He was sure where his off stump was, so was confident in letting it go through"
"full on the stumps, big stride forward and defended"
tossed up a bit more but on the same length. Defended with a big stride forward again
too full and he paddles it fine
"flighted on off, spins past the attempted cut"
"too full, which allows the sweep to come into play. Deep square leg collects"
"short, but not short enough to cut. Mithun shapes for it but the ball skids through"
"tossed up on off, spinning further away which allows him to slap it to deep point off the back foot"
"full again, driven to long-off with a straight bat"
"full and drifting into the batsman, driven back to the bowler"
stays back to this length ball and punches to cover
delicately steered to short third man's left
"full on the stumps, he takes a big stride forward and drives to long-off"
"tossed up, drifting on the pads, but he can't tuck it away"
"gets the line right, on middle stump and turns sharply away from the batsman"
pushed down to long-on
"length ball on middle, turns sharply, defended from the crease"
""
"beats him with turn, drifts and turns past the defensive prod, but the edge flies well away from silly point"
"ooh good bowling, that is quicker and traps him on the crease almost, but the bat comes down in time to keep the ball out"
""
"<b>he's got him!</b> went back to a length ball, didn't seem to have a clue where it was pitching. Takes his pad flap and crashes into the stumps. Valuable mini-stand for Bangladesh, but Bishoo's strike has rendered balance back to the match"
<b>just past forward short leg off the inside edge</b> got this to turn and take the glove. Mushfiqur played it with soft hands though and it didn't fly off. went to the fielder's right
"beautiful ball, completely beats Mehidy. They've gone for the review. I'm not sure for what. Perhaps for caught behind. Or could be for lbw. It has just brushed the pad, though it's not taken any bat. Oh he's saved by a whisker! By a whisker. It struck him in line, had pitched in line - but umpire's call on impact. Even though an appreciable part of the ball is hitting the stumps."
""
""
"tossed up on leg, he steps out and drives to mid-on"
beaten again. Big turn fizzes past his bat
"on off and big turn again, but Mushfiqur is equal to the task and plays it with the turn to point"
drags it down a bit and he rocks back to slap it through cover for a single
"whizzes past. ripping leg break that leaves the batsman unsure, stuck on the crease, and goes past a prodding bat"
comes well forward to defend
another confident stride out to smother the ball
"well negotiated, pitched on leg and hurried through, but he defends from the crease. That will be <b>stumps</b>"
"given some air, but too full. Driven gently to cover"
"good length, getting Mushfiqur to stretch forward to defend the ball and drop it at his feet"
"tossed up and too full, Mushfiqur goes down on one knee to sweep confidently, sends the ball crashing to the square leg fence"
"gets the length better that time, getting Mushfiqur to come forward in defence"
"swept again, but didn't get hold of it as well as he had the previous one. Got a top edge that landed just clear of midwicket, who tried to tumble and dive for the catch but the ball was out of reach"
"<b>reverse sweep goes wrong, but he survives</b> What is Mushfiqur doing? High risk shot, went for the reverse sweep, the ball took his glove and went down to fine leg"
"short and wide outside off, gently slapped past point"
"<b>edged past slip</b> in the corridor, hint of a movement back into him, he hung his bat out, and Gabriel drew the outside edge. But it flew just wide of the lone slip"
"back of a length and coming into him again, defended solidly"
"back of a length outside off, that hardly bounces. He steers it comfortably to deep point"
"<b>well directed bouncer but he's overstepped. And by a fair bit</b> Rose up from the middle of the pitch and had Mushfiqur playing it down from near his throat, but he'll have to rebowl that"
"<b>huge strike, unplayable ball</b> short of a length, comes back in sharply to Mushfiqur. Perhaps he was expecting it to rise as much as the previous ball did, but this stays stump high, homes in between the bat and pad and hits the top of off. West Indies will fancy their chances now"
"back of a length outside off again, he just pushed it, but with great timing and the ball races past the in-field through cover"
"<b>big turn</b> Drifts in and pitches on that uncertain spot, he doesn't get to the pitch of it, and it whizzes past"
"tossed up again but fuller, and he drives nicely through cover"
"nicely tossed up on the stumps, but he comes forward to gently nudge it into the leg side and they take a quick single"
pitched up and driven back to the bowler's left
"spins past the bat again. Slightly held back, and he comes forward but the ball dips and beats bat"
"goes for the sweep, but doesn't connect with the ball, which hits him on the upper arm"
"<b>beaten</b> In the channel outside off, he pushed at it, and didn't connect. No feet movement"
"another airy waft outside off, and beaten again outside off"
"strays on the pads that time and Mahmudullah is beaten on the flick. Gabriel goes up in half appeal, but the ball hadn't straightened enough and would have gone down leg"
outside off and pushed to deep cover
"<b>another bouncer, another no-ball</b> Overstepped again. Short ball outside off, rose to more than chest high, Mehidy punched it above cover"
"back of a length and coming into the batsman, he guides it to point for a quick single"
"length ball outside off, defended solidly to point"
"given some air, on a length outside off, he drives to cover's left"
beaten - this is happening frequently and will continue to do so whenever a ball hits that spot that is just out of the reach of a forward defensive. Nicely looped and spins past the bat
""
too full and clipped off his toes to wide long-on
"stays back to that one, and steers it past point by going deep inside his crease"
"tossed up on the stumps, he comes nicely forward and drives to long-off"
"short ball again, on target, and rising up to the batsman's chest, but he swivels and pulls it well to deep square leg"
"<b>another no-ball</b> Ooh that's very tight, his heel was on the line but maybe he had a smidgeon behind it. It was a short ball and Mahmudullah ducked under it, but it didn't bounce as much as expected"
"back of a length on off, punched back"
"given some room outside off, he goes for the drive despite two slips but nails it beautifully. Opens the face to send it racing to the third man fence"
back of a length on off and confidently steered to deep point
"pitched that one up, and perhaps he was surprised by this yorker outside off. Late in getting the bat down and ball goes through to the keeper."
"back of a length and coming back in again, takes the inside edge of his bat and flies down to the fine leg boundary. Lucky for the batsman"
past the outside edge with big spin again
ooh that went with the angle. Takes a thick inside edge and rolls away off his hurried jab
"went for an almost premeditated sweep, but it goes once bounce to short fine leg"
"beaten again, spinning past the bat off a good length"
stays back to that one and pushes it towards point staying beside the line of the ball
"stays back again, but the ball grips and spins past the attempted push"
"good length, on off and drawing him forward. Guided to gully"
"sharp spin, gets some drift that makes it pitch on leg and spinning past the outside edge. He manages to get some bat on it, and soft hands ensure the edge bounces and goes to slip"
""
paddled to short fine leg
"premeditated sweep, went down on one knee and waited for the spinning leg-break to come to him and hit it aerial but safe towards fine leg"
"<b>beaten on the sweep</b> Bishoo gets the ball to dip and turn, wasn't quite the length for the sweep, and the batsman is lucky it doesn't do any damage"
"a touch full, and he cleared his front leg to heave that one over midwicket for four"
comes forward and steers it to point off an open face
"holds this back a bit, allowing it to pitch and turn past the batsman. He stays inside the line"
"tossed up on the stumps, defended off the front foot."
dances down the track to get to the pitch of the ball and defend it
"stays in his crease and negotiates this safely, watching the ball and the spin like a hawk before defending into the off side"
drifts down leg and he's able to easily tuck it away behind square
"loop, dip and turn. The batsman stayed back to that, should have come forward. Beaten"
"<b>dropped</b> Similar ball and he gets the edge. The ball flies to Shai Hope at chest high, and he clutches at it, and sees the ball pop out. Big moment"
comes forward and clips this to square leg
comes down the track again and tucks it to wide long-on
"nicely tossed up on the stump, just as nicely defended with a nice big stride out front"
"down the track, and gets to the pitch of the ball to clip it to deep midwicket"
"strays too far down leg, goes past the batsman and past the keeper for byes"
"tossed up on a good length on the stumps, comes forward to defend"
"slightly back of a length, spinning across the batsman who hangs back and pushes it towards point"
"stays back again to this length ball on off, cuts it to point"
"fuller, again outside off, pushed to cover point"
"<b>beauty!</b> perfect leggie's dismissal. Looped up and dips, the batsman's stretched forward but can't get to the pitch of the ball, which grips the surface and turns just enough to go off the shoulder of the bat and into the keeper's gloves. Mehidy's resistance ends but it's been a good hand"
"nicely tossed up again, but he presents a full face to defend it"
"pitches on off and turning away, he lets it go through"
"tossed up on off, could have been the googly. Defended from the crease"
"tossed up again, but too full, driven back and the bowler tumbles to his left to field"
"spinning across the batsman, but a bit short of a length which allows him to punch into cover off the back foot"
comes down the track to defend this back to the bowler
"back of a length, he stays in his crease and pushes it to mid-off"
"tossed up and drawing him forward, but he defends solidly"
"similar ball, same result. Defended off the front foot"
"spins past the bat again. He stays back in his crease for that, and it goes past"
pushed to point.
"nice, teasing legbreak on a fullish length outside off. Mahmudullah ignores the bait"
"ooh, quicker and closer to off stump - straightens just enough to miss off stump, in fact, after the ball sneaks under Mahmudullah's attempted sweep"
"shorter, goes on the back foot to punch to deep point"
"ooh, nice flight from Bishoo. Reaches in front of his body for the checked drive, and pops it uppishly past the right shoulder of silly point"
"fuller and straighter, pushed down the ground towards mid-on"
"down the track and that's a super hit. Jumped away from the line of this leg-stump delivery to loft this back over the bowler's head, high and handsome"
"flat, speared in towards middle stump. Goes back and across to nurdle through square leg"
"full, angling into the pads, clipped gently to the left of backward square leg"
down the track and Warrican shortens his length a little. Stretches out to block it back to the bowler
"sharp turn there. Flat, on a good length just outside off. Goes on the back foot - playing the trajectory rather than the length, and does well not to follow the ball away from his body"
"and again, turn and bounce, past the outside edge as he jabs at this in defence"
"slower, flighted, on middle stump. Stretches out to defend and it rolls off the inside edge into the short fine leg region - didn't turn as much as Nayeem expected"
down the track and he isn't quite to the pitch of it. Stretches out to defend it back where it came from
not short enough to cut. Makes a lot of room and it stays a little low. Just about manages to chop it down and keep it out of his stumps
"back of a length on off stump, makes room again to jab it towards deep point"
"flighted legbreak outside off stump, left alone"
"flighted again, fuller this time, drives to the man at extra-cover without quite timing it"
"googly, spins in from a good length fairly wide of off stump. Nayeem keeps it out with a flat-batted half-drive/half-forward defensive"
"full outside off, clipped with the turn to long-on"
a long way down the track but he's not quite to the pitch of the ball. Long final stride to defend with the turn to midwicket
"stays on the back foot and is cramped by this one, which rips in sharply from outside off. Jams it down into the leg side"
"more flight now, stretches out to block it back towards Chase"
"dips onto a nice length close to off stump, defended towards short leg off the inside half of the bat"
"down the pitch, possibly gets too close to the pitch to drive it off the meat of the bat. Squeezes it back to the bowler off the bottom of the bat"
flat legbreak pitching on off and middle. Makes a lot of room to slap it to deep point and move the lead to 200
"gone, classic legspinner's dismissal. Flighted nicely outside off, inviting the drive. Doesn't get a proper stride out to the ball, and he isn't quite close enough to the pitch of the ball. Sharp turn to get the edge, and Hope takes a straightforward catch at slip, at around knee height"
floats this across into a fifth-stump line. Taijul looks for the push into the point region and gets a thick outside edge that rolls behind square - didn't turn as much as he expected it to
"Mahmudullah pays the price for premeditation here. Fourth wicket for Bishoo. Shaped to sweep even before the bowler released, and Bishoo shortened his length accordingly, while also flattening his trajectory. Mahmudullah ends up playing a half-hearted attempted lap-sweep, and only manages a top-edge that balloons to slip"
"bam, Mustafizur begins with a meaty slog-sweep against a length ball outside off. Hits it with the turn, and it bounces down to the right of the man at deep midwicket"
"now Taijul goes for the big sweep from outside off. Hits the inside half of his bat and he ends up dragging it squarer than he intended. I think it hit the square-leg fielder somewhere on his body, causing the cameraperson to lose track of the ball. Yikes, straight into Ambris's chest"
"tight off-stump line, defended off the front foot back to the bowler"
"<b>dropped</b>. Slows it up and Mustafizur goes for the big leg-side slog. Top-edges it high towards the backtracking backward point fielder, Brathwaite, who puts down the two-hander"
"full outside off, driven to extra-cover"
"length ball close to off stump, Taijul goes for the reverse-pull/sweep and fails to connect"
"and that is that. West Indies will need 204 to win. Steps out and gets nowhere near the pitch of the ball. Goes through with the big heave nonetheless, and the ball grabs the outside half of his bat and ends up in long-on's grateful hands"
"tossed up full outside off, driven to short extra-cover"
"length ball sliding on with the angle towards off stump. Presses forward, watches it, and defends with soft hands"
"a bit fuller, good stretch out to block it back towards the bowler"
nice length just outside off. Brathwaite defends with soft hands towards point
"good length once more, the line just outside off. A bit more bounce and Brathwaite gets on the front foot, lets it come to him, and defends close to his body towards point"
"straighter now, on middle stump, worked away through backward square leg from the crease"
sharp turn from outside off as Brathwaite comes forward to defend. Beats the outside edge and goes towards leg gully off the outside of his front pad
"goes back and across to defend this one pitching outside off, and the ball spins past leg stump"
action replay of the previous ball - Nayeem may want to shift his line wider
"and again, rips past leg stump. Brathwaite doesn't offer a shot this time"
"fullish on middle and leg, stays back to clip watchfully into the leg side"
"down the track now, gets close to the pitch and clips it wide of mid-on"
"floated up slow and wide of off stump, drives with a lot of bottom hand to mid-off"
"a touch shorter, slides into the pads, clipped into the fine-leg region"
"full on middle stump, whipped to deep square leg"
"and he strikes immediately. Throws away his wicket and gifts Shakib his 200th in Tests. Down the track to a teasingly flighted ball wide of off stump, and slogs, looking for turn and looking to go over mid-on. It doesn't turn, however, and it slips past the outside edge to offer Mushfiqur the simplest of stumpings"
"nice flight, dips onto a good length and slides on with the angle. Defended back towards the bowler"
another armer. Gets on the front foot and defends it back to the bowler. Pushed a little hard at this one
flat offbreak on an off-stump line. Goes back and across to defend
"straighter now, tucked away with the turn to long leg"
"again on leg stump, goes back to work it to the left of backward square leg"
"flighted and full on middle stump, whipped down the ground to long-on"
nice quick feet to get close to the pitch of this flighted off-stump ball. Clipped to midwicket
"tossed up again, straighter in line, clipped to the left of square leg"
"flat, a touch short outside off. Rocks back and slaps it to cover point"
"fullish, close to off stump, defended into the off side"
"a touch too full to trouble Brathwaite, angling into off stump from wide of the crease. Blocked back down the pitch"
drifts down leg and Brathwaite gets on the front foot to nudge into the backward square leg region
"big appeal, and it's given! Hope stretched forward to defend but it was flat and the length was just perfect, outside off, which meant he didn't get close enough to the pitch of it. Tries to tuck his bat behind his pad and leave it, but the ball doesn't turn as much as expected, and it bounces a touch more to brush his glove through to the keeper"
"inviting flight wide of off stump. Reaches out with his hands to drive without getting a stride in, and pops it in the air, but out of reach of short cover"
"gone! Taijul strikes first ball with the deadliest of arm balls. Not much Brathwaite could have done about that, though he could have played forward rather than gone back to it. The trajectory was flat, however, and it just skidded through quickly before Brathwaite could bring his bat down to keep it out. Hits him on the back pad, and the umpire has no hesitation in giving him out. They're checking if Taijul overstepped, however... He's fine, just about. Landed on his toe with his heel in the air, juuuust behind the line"
"length ball just outside off, uses his reach to defend towards silly point"
"flat, back of a length, sharp turn and bounce from leg to off. Goes back and gets on top of it to keep it down"
"back of a length again, this one rips away even more sharply, from an off-stump line, and Chase can't get his bat anywhere near it"
"Taijul is on fire here! Another arm ball, another batsman playing back, another ball skidding through and striking back pad. Chase has reviewed this, but it looked out on first glance. The line began straighter than the Brathwaite delivery, and it struck him in front of middle and leg. Hitting a good chunk of leg stump, says ball-tracking"
"keeps it flatter and drags it down a bit short, Hetmyer flat-bats it to long-on"
"floats it up just around off, he defends by coming forward"
"slightly short and Hetmyer has decided that attack is the best form of defence - just like in the first innings. Rocks back and hits it over the bowler's head with a horizontal bat. Mahmudullah ran in from long-on and dived, but couldn't stop the boundary"
<b>cracking shot</b> Picked it up beautifully and smashed it straight back past the bowler
"<b>bye bye ball</b> Hetmyer has more than doubled West Indies score in three balls. Tossed up and he launches into it, lifts it high and handsome over long-on"
"stays back and punches this through cover. They get two easily, and Hetmyer wants the third but is sent back from almost halfway down the pitch."
"clipped to long-on, coming forward. Hetmyer has scored 18 runs - West Indies had only 11 with four wickets down!"
"nice length, defended into the off side"
"stays back in his crease, and ensures he can punch this to deep cover, taking advantage of hte slightly short length"
half step forward and turns it from off stump to short fine leg
"gets this to drift, it ends up on leg stump and Hetmyer defends solidly"
"drags this down too short, and Hetmyer goes for a full blooded pull, but straight to the deep midwicket. He's not happy, he reckons that should have gone for six"
"<b>third umpire called on for a potential run out chance</b> But Hetmyer is safe. Ambris had tucked this to square leg, and called him through. Good fielding but Hetmyer made it."
drifts too far down leg and spinning further away. Left alone by the batsman
"too full, and he plays it with the turn to nudge it to midwicket"
"slightly short and room outside off, which allows him to stroke it down to deep point with a horizontal bat"
"quicker and flatter, he was almost caught on the crease but brings his bat down in time to defend"
steps down the track to get to the pitch of the ball and tap it to long-on
"good length ball, spinning across the batsman from leg stump, he stays back and tucks it to short fine leg"
"slanted across the batsman from round the wicket, but ends up too full and he slaps it down to long-off"
"full ball on the stumps, defended with a straight bat"
"<b>outside edge goes past first slip</b> lucky for Hetmyer. He stayed back to that and tried to close the face of the bat, but the ball spun more than he expected. He was left with bat hanging, and the ball whizzed off the outside edge, but well clear of the slip"
""
"<b>nicely played</b> goes deep in his crease to this length ball on off, and cuts it with the turn. Great timing and it flies to the point boundary"
""
"goes across and down on one knee to sweep. Doesn't connect well, it takes the glove and goes to short fine"
"<b>caught at long-off</b> stepped down the track and gave himself some room. Got to the pitch of the ball and struck it well, but picked out the man at long-off perfectly. He had just been pushed back from mid-off. Brief but entertaining knock from Hetmyer ends"
"good length and turning sharply into the batsman. So sharply in fact that it ends up on his pads, and he flicks it to square leg"
comes down the track - he's been doing that a lot to spinners - and taps it to long-on
"<b>just short</b> went for the sweep, and the ball went off the back of the bat. Looped up and landed near the batsman. Backward short leg had a moment of hesitation before putting in the dive, but it just eluded him"
goes well back in his crease to play it with the turn into midwicket
"fuller ball, he comes forward and drives it nicely through cover"
"fuller on the stumps, and he connects with the sweep, but straight to square leg. Played the sweep almost standing up"
"<b>lovely ball</b> loops on the stumps, draws him forward, dips and turns past the bat. Nothing much the batsman can do about that"
gets him forward again but this is a bit fuller and he manages to defend it.
"full and on the stumps again, defended off the front foot"
"changes his line a tad to outside off, the batsman is drawn forward again, and the ball spins and takes a thickish outside edge. But soft hands, so it bounces well before reaching slip"
"nicely tossed up, he comes forward but doesn't get to the pitch. Ends up tapping it to mid-on"
""
"he's getting the batsman to come forward with his loop, but not quite reaching the pitch. Manages to defend it into the leg side"
""
"a touch full on the stumps, turned into the leg side"
"similar ball, he comes forward and turns it round the corner, but cant get past the man close in"
"tossed up outside off, he comes forward to push it to long-off"
plays with soft hands to gully
"waited and played it late, almost too late, eventually opened the face of the bat to run it down to third man"
"given some air, outside off. He went for the big drive but only inside-edged it to his toe"
"<b>big appeal for lbw, given immediately and he reviews</b> squared him up with the turn, it pitched on middle and leg and was spinning across him. Might be missing off, or umpire's call. Ultra Edge confirms no bat, so it's down to ball tracking. And it's hitting off stump flush - three reds. Taijul has his third. West Indies are sinking at a pace that will give the Titanic a complex"
"spinning sharply into the left-hander, who manages to jab it down towards leg gully"
"tossed up outside off, he comes down the track and gets to the pitch of the ball to stroke it through cover"
"down the track again, and patted to long-on"
"good length, spinning away, but he comes forward to defend it solidly"
stays in his crease and cuts this to point
"tossed up on off, pushed into cover off the front foot for a single"
"nice loop, drifting across the batsman and turning back into him. Maybe a touch too full, which allows him to dab it down into the leg side with relative ease"
"very full, and driven off the front foot but the bowler dives across his left to field"
"<b>beats everyone</b> drifted across the batsman, and turned back in through the gap. Went agonisingly close to off stump, and even beat Mushfiqur to go for four byes"
"drifted down leg, and he had moved across to flick it. Misses it but Mushfiqur, standing up to the stumps, can't block it either. Four more byes"
"a little fuller, drawing the drive, but it rolls off the inside edge to leg slip"
"better choice of shot, he goes with the sweep to the fuller ball, and gets it away past square leg"
"drifts down the pads, and is tucked to square leg for a single"
"down the track and beaten, by the turn, but it hits his pad and rolls forward. If it had sneaked through the bat-pad gap, a stumping was on"
comes forward and clips it to long-on
"<b>beaten</b> perfect spinner's ball, drawing him forward, and dipping and turning away. Turned a bit too much to take the edge of the bat though"
""
"down leg side and he sweeps, but straight to short fine leg"
"very full on the stumps, driven to cover"
angling into the batsman from round the wicket. the aim must be to spin it across. too full though and he defends
"full ball, blocked"
"changes the line to outside off, and draws the poke that connects with air, while the ball goes past the outside edge"
""
"flatter and quicker, on the stumps, defended"
"given some more air, and he stays in his crease to defend it"
"floated up outside off, and draws an airy drive without foot movement. no contact with ball"
"oooh, that squared him up with sharp turn. Drifted to pitch on middle and leg, and whizzed past. Perilously close to the outside edge"
""
"tossed up on the stumps, comes on the front foot to defend"
"went for the sweep, but only got an under-edge that rolls down leg and is collected by the keeper"
driven with the full face of the bat to cover
takes a big stride out to smother the ball outside off
"<b>in the air but safe</b> Wasn't in control of it, probably meant to chip it over the circle, but ended up hitting it too high. Still safe, landing beyond the reach of mid-on running back"
""
comes forward and steers it down to third man off the front foot
"full on the stumps, clipped to mid-on"
"<b>bowled through the gate</b> gets it to drift again, across the left-hander, which tempts him into the big drive. But the ball breaks inwards, and through the big gap to clip the stumps. It was a matter of time before this happened."
"down the track to this flighted ball wide of off stump, gets nice and close to the pitch of it and extends his arms through a sweetly timed drive to find the cover boundary"
"flatter, pitches on leg stump and turns sharply down leg. Good take from Mushfiq"
"fuller now, and flat. Clipped firmly back to the bowler"
"a touch short on off stump, makes room and plays a delicate late dab to the right of slip"
"tossed up slow outside off, Roach drives to mid-off"
"flighted again, on off stump this time, Roach lofts it with lazy elegance, on the bounce to the left of long-on"
"full on middle and leg, defended inside-out into the covers"
"back of a length close to off stump, defended to short extra"
"flat length ball angling in towards middle stump and straightening. Defended back towards the bowler. A little more round-arm, this delivery"
"wow, that's square turn. Pitches outside off and beats Roach's attempted push by a couple of feet, easily"
"big appeal for lbw as this straightens on or just outside off stump as Roach presses forward to defend. Not given, and Bangladesh have reviewed... Came forward with bat and pad together and the ball didn't turn as much as expected. Actually, this may have straightened from middle stump rather than off as I initially assumed - looks close, this. Definitely pad first, and the bat jams into the pad. If ball-tracking is in his favour, this could be five for Taijul. It is. It's hitting middle stump three-fourths of the way up"
"in the blockhole on middle and off, jabbed back to the bowler"
"back of a length on off stump, defended into the on side off the back foot"
"length ball slanting across towards off stump. Doesn't quite get a proper stride out to defend, and the ball slides off the outside half of his bat, past third slip"
"length ball on middle and off, defended towards point. Didn't really get across to this"
"very full outside off, past the outside edge as Warrican pushes at it without accounting for the angle"
"length ball on middle and off, defended into the covers"
"back of a length on off stump, pokes at it and it runs away through the backward point region off the outside half of the bat"
"flighted ball on middle stump, clears his front leg and hoicks this over wide mid-on"
"flatter now, not as full, slanting into middle stump, blocked back to the bowler"
"tossed up once more, on off stump, and again he gets his front leg out of the way to heave over the leg side. Doesn't quite middle it on this occasion, and the man at a deepish straight midwicket can run to his right and stop it"
"length ball spinning away from off stump, goes back and across and blocks"
"flat and fairly full on off stump, shows the full face to block to mid-off"
"flat and short just outside off stump, Warrican loses his shape as he looks to pull this, too early through his shot and the ball sneaks under his bat"
"back of a length, slanting across to off stump, and Warrican punches forcefully at it. Thick edge, falls just short of the fielder at third slip"
"bam. Full on off stump and Warrican gives it a proper slog, creating swinging room by moving his front leg out of the way. Gets just enough bat on it for it to bounce a few times and roll to the long-on boundary"
"fullish on middle stump, shows the full face of the bat to play a checked drive to mid-off"
"back of a length on middle stump, lets it come on and nudges into the square leg region"
"lovely. Back of a length, slanting away from off stump. Gets back and across, waits, and opens his bat face to steer it past the diving third slip fielder"
length ball pitching on off stump and continuing to angle away. Left alone
"flighted and full on off stump, and Warrican is showing he likes it on that length. Nice, smooth swing of the bat through the line after getting his front leg out of the way, and he picks up four more to the long-on boundary"
"quicker, shorter, on off stump, goes back and blocks it back where it came from"
"flat again, but a little fuller. Gets forward and plays a checked push to short extra-cover"
"back of a length outside off, punched to the right of point"
"a little slower, floating up towards middle and leg, defended back to the bowler"
"excellent bowling. Having made him conscious of lbw with the middle-and-leg line, he shifts to a wider line outside off, with a bit of flight and dip. Doesn't get his front leg across to defend, and gets a thick edge that falls just short of second slip"
"full and flighty on middle and leg, blocked back to the bowler"
"a little slower now, and it drops slightly shorter, forcing Ambris to reach for the ball slightly as he drives down to long-off"
"back of a length, straightening away from off stump, goes back to whip it through midwicket"
"flighted ball on leg stump, defended back down the pitch"
"shortish outside off, stops on the pitch, denying Warrican the cut. Jabbed back to the bowler"
"back of a length, slides on with the angle towards off stump. Makes just enough room to squeeze a cut to backward point"
"full on middle and off, shows the full face for a push to long-off"
"back of a length on off stump, goes back and whips to deep midwicket"
"flat and full on off stump, defended to short extra-cover"
"full again, angled in from wider of the crease, defended back to the bowler"
"nice length, angling into off stump. Comes forward to defend, the ball rolls into the on side off the inside half of the bat"
"full on off stump, driven firmly to short extra"
"back of a length fairly wide outside off, left alone"
"slow length ball, closer to off stump, blocked off the front foot"
"back of a length again, fairly wide. Lets it come and plays a nice-looking late cut behind point"
"goes on the back foot to a length ball on middle stump, blocks it back to the bowler. Stayed leg-side of the ball there"
"short, a bit of width, cut away to the left of deep point"
"tossed up slow outside off, left alone"
down the track and he floats it full and wide. Reaches out and stabs it away through the vacant backward point region
"length ball outside off, slow, draws Ambris forward to use his wrists and play it down to short leg"
"back of a length now, turns in towards middle stump. Goes deep in his crease to work it to deep backward square leg"
tossed up invitingly wide of off stump. Goes for the cover drive but the ball dips on him and forces him to drag it round to midwicket
"flat, sharp offbreak turning in towards middle and leg. Stays back and works it through square leg"
"flat again, stays back to defend with the turn, into the leg side"
